,trial,response,mean_alpha,mean_beta,mean_gamma,sd_alpha,sd_beta,sd_gamma,p_null,p_reward,value_null,value_reward,amb_level
23,24,1,1.2280677577491659,-0.008159058517146357,0.5419277711371733,0.11803256250180628,0.3274928822420607,0.1413580336368729,1.0,0.5,5.0,20.0,0.74
24,25,0,1.2264978389145877,0.07712610092780188,0.544646525720126,0.11451367677741194,0.3066869153118987,0.1458931435662148,1.0,0.5,5.0,8.0,0.74
25,26,1,1.2298774853183843,0.06283415956869359,0.5460285781617719,0.10702160128609124,0.29163753027865685,0.14792069016874151,1.0,0.5,5.0,20.0,0.74
26,27,0,1.2285866817790232,0.12735182816143256,0.5499272557676917,0.10346602895377252,0.27575299716772167,0.1539118064431423,1.0,0.5,5.0,8.0,0.74
27,28,0,1.227989545425304,0.18044599553913931,0.5532284367194114,0.10073787761722543,0.2646082005005944,0.15884309509007266,1.0,0.5,5.0,8.0,0.74
28,29,0,1.169621622262484,0.5283305008059572,0.5006887711322945,0.14245385340321198,0.2844622865624938,0.01857478072654913,1.0,0.5,5.0,20.0,0.74
29,30,0,1.1299280799054972,0.7346223542705624,0.500625234811461,0.21408227642555444,0.3111996636565292,0.017732814302837387,1.0,0.5,5.0,20.0,0.74
30,31,1,1.1640989672724085,0.7559864083133586,0.5003605589754285,0.14868745086596627,0.24965061738591338,0.013444301477349747,1.0,0.25,5.0,40.0,0.0
31,32,1,1.169686120298882,0.6897113989797906,0.5003335032374139,0.1349270563868072,0.27084474338436754,0.012929466746222326,1.0,0.5,5.0,20.0,0.74
32,33,1,1.1750401633261307,0.6136407252736206,0.5003109075141171,0.12011366200927946,0.2723593015864651,0.012483564356986993,1.0,0.5,5.0,20.0,0.74
33,34,0,1.1624096043710523,0.7804610508390553,0.5003753624690286,0.1501902089598348,0.2500777256978154,0.013716911267739192,1.0,0.5,5.0,20.0,0.74
34,35,1,1.183538838749333,0.8019556129533951,0.5002287792292722,0.09755328834631215,0.19297212661719687,0.010700410572955822,1.0,0.13,5.0,50.0,0.0
35,36,1,1.1834315105956559,0.7562797307020969,0.50023286664565,0.09568205896917191,0.2271177065206986,0.01079718116102701,1.0,0.5,5.0,20.0,0.74
36,37,0,1.1831926835545958,0.83782464825286,0.5002311925206958,0.09883003269489761,0.15788074859381596,0.01075594133455765,1.0,0.5,5.0,20.0,0.74
37,38,1,1.192564141081252,0.8481012053468002,0.5001777948660996,0.06361736704928538,0.11653771051093037,0.009429831376582066,1.0,0.13,5.0,50.0,0.0
38,39,1,1.196641502569167,0.8526891622093828,0.500155965271063,0.04130365618860844,0.09451497865571155,0.008831029447514077,1.0,0.13,5.0,50.0,0.0
39,40,0,1.1969968293947708,0.8655032677608417,0.5001616406432159,0.03970423312743956,0.05616768077351501,0.008989461723875873,1.0,0.5,5.0,20.0,0.74
40,41,1,1.198106951155796,0.8664982944309064,0.5001599608006825,0.029045378440488753,0.04509516901279218,0.00894257877849757,1.0,0.25,5.0,40.0,0.0
41,42,1,1.199085975400823,0.8674737780512314,0.5001570234802107,0.019469202244602413,0.03594626873681818,0.008859854068310824,1.0,0.13,5.0,50.0,0.0
42,43,1,1.1995515068323777,0.8679482019168101,0.5001572512937744,0.013306594405747605,0.03106459510358514,0.008866125485983183,1.0,0.13,5.0,50.0,0.0
43,44,0,1.1995934332783869,0.8694851480758502,0.500170022711966,0.012634809023603439,0.01690587770305322,0.009218916733424629,1.0,0.5,5.0,20.0,0.74
44,45,1,1.199796684577441,0.8696532020144804,0.5001731180555238,0.008681418269126866,0.013387512740669972,0.009302389389999255,1.0,0.13,5.0,50.0,0.0
45,46,1,1.19989718616283,0.869737655600457,0.5001768253776739,0.006064171827869776,0.011389610075427603,0.009401411251637423,1.0,0.13,5.0,50.0,0.0
46,47,1,1.1999478674904094,0.869780760839984,0.5001809148877954,0.0043040323147091495,0.010296416274521958,0.009509454305936605,1.0,0.13,5.0,50.0,0.0
47,48,0,1.1999492020705942,0.8699621032313578,0.5001973244529461,0.004153895243416819,0.005770914091348221,0.009931212584025474,1.0,0.5,5.0,20.0,0.74
48,49,0,1.1947017184754303,0.8774617373073411,0.5000018611633384,0.04568506272012611,0.06481762585029793,0.0009646730574901047,1.0,0.5,5.0,50.0,0.74
49,50,1,1.196503243437036,0.87005455533925,0.5000016485213122,0.03557015660408477,0.02840621199766727,0.000907893664394968,1.0,0.5,5.0,50.0,0.74
50,51,0,1.0311182839140256,0.9590659309930987,0.5000300231990431,0.20491070442999093,0.23869198215421777,0.0038744006999622267,1.0,0.5,5.0,50.0,0.74
51,52,0,1.0317816320418207,1.1142522264350512,0.500016500641919,0.23028801948502542,0.2721613722172333,0.00287233888268887,1.0,0.5,5.0,50.0,0.74
52,53,0,1.0936382601466195,1.2078534252261615,0.5000076229596087,0.21757049431219166,0.22283461886150088,0.0019523406901182545,1.0,0.5,5.0,50.0,0.74
53,54,1,1.1446420830709039,1.2498472106637712,0.5000028588694745,0.15704631387920043,0.16358518394690832,0.0011956014114365388,1.0,0.13,5.0,50.0,0.0
54,55,1,1.1720363688504645,1.273666129291292,0.5000011933098426,0.10930472076699076,0.11679862117055281,0.000772437446690728,1.0,0.13,5.0,50.0,0.0
55,56,1,1.1859530010252497,1.2863459090472902,0.5000005582978593,0.07518501297128813,0.08259027420965515,0.0005283462946808953,1.0,0.13,5.0,50.0,0.0
56,57,1,1.192902685615793,1.29292786331555,0.5000002828874207,0.05181019996016934,0.0584121916700065,0.00037609036156290937,1.0,0.13,5.0,50.0,0.0
57,58,1,1.1963799456655713,1.2963241151123595,0.5000001496982901,0.035984842514172145,0.04149258508641404,0.00027358592583827217,1.0,0.13,5.0,50.0,0.0
58,59,1,1.1981360828713974,1.2980803282036237,0.5000000808609781,0.02523352576635088,0.02963485736685436,0.00020107350003035113,1.0,0.13,5.0,50.0,0.0
59,60,1,1.199032628093545,1.298992801961259,0.5000000440729117,0.01785524002814936,0.021275812690149866,0.00014844693471074155,1.0,0.13,5.0,50.0,0.0
60,61,1,1.1994948207796805,1.2994692463493145,0.500000024112693,0.01273114197433525,0.015344022564762834,0.00010980149166513616,1.0,0.13,5.0,50.0,0.0
61,62,1,1.1997349848899947,1.2997190786959707,0.5000000132125884,0.009132502308805935,0.011110735757391663,8.127918732430236e-05,1.0,0.13,5.0,50.0,0.0
62,63,1,1.1998605351830047,1.2998505215810332,0.5000000072442943,0.006581353951236916,0.008077699499339699,6.018433407558086e-05,1.0,0.13,5.0,50.0,0.0
63,64,1,1.1999264623545254,1.299919850596117,0.5000000039729292,0.004759541831932001,0.005900972543025863,4.4569815891273725e-05,1.0,0.13,5.0,50.0,0.0
64,65,1,1.1999611929561984,1.299956484824365,0.5000000021790902,0.0034516406822394036,0.004340822713663242,3.3008291292360167e-05,1.0,0.13,5.0,50.0,0.0
65,66,1,1.1999795315681987,1.2999758680900613,0.5000000011953039,0.0025094095259149446,0.003228781561360194,2.444694464216176e-05,1.0,0.13,5.0,50.0,0.0
66,67,1,1.1999892311282712,1.299986133299668,0.5000000006557465,0.0018294518777157455,0.0024455135459326032,1.810728809238175e-05,1.0,0.13,5.0,50.0,0.0
67,68,0,1.1999949135880443,1.2999962955392215,0.5000000001048902,0.0012776834966320232,0.0012655107172429702,7.241904929656843e-06,1.0,0.5,5.0,50.0,0.74
68,69,1,1.1999973800506445,1.2999980345054174,0.5000000000577133,0.0009405212829018324,0.0009210276042061973,5.37183834655113e-06,1.0,0.13,5.0,50.0,0.0
69,70,1,1.1999986878586202,1.2999989556981641,0.5000000000318451,0.0007006386308426137,0.0006709613629222902,3.990310906654716e-06,1.0,0.13,5.0,50.0,0.0
70,71,1,1.1999993827726108,1.2999994439662879,0.5000000000176628,0.0005324639589961539,0.0004893973163229593,2.9717698193459697e-06,1.0,0.13,5.0,50.0,0.0
71,72,1,1.199999753184102,1.2999997028691161,0.5000000000098894,0.00041763518258712876,0.00035765601098134667,2.2236764376362085e-06,1.0,0.13,5.0,50.0,0.0
72,73,1,1.1999999516918158,1.2999998401885904,0.5000000000056312,0.0003424472413985586,0.0002622485929325455,1.6779775566827799e-06,1.0,0.13,5.0,50.0,0.0
73,74,1,1.2000000591172084,1.2999999130348983,0.5000000000033009,0.00029601729814654747,0.00019343040071033963,1.284709226664237e-06,1.0,0.13,5.0,50.0,0.0
74,75,1,1.2000001182940847,1.2999999516838543,0.5000000000020283,0.00026938185113685844,0.00014416459205651033,1.0070361779564627e-06,1.0,0.13,5.0,50.0,0.0
75,76,1,1.200000318060819,1.2999999416104857,0.5000000000021314,0.0003594690659936715,0.00015847918287409832,1.0323116852276195e-06,1.0,0.5,5.0,20.0,0.5
76,77,1,1.2000007241213964,1.2999999266711852,0.5000000000022644,0.00049978050249629,0.00017759621325182185,1.0640231616476909e-06,1.0,0.5,5.0,20.0,0.5
77,78,1,1.2000015635072965,1.2999999028799534,0.5000000000024274,0.0007084397428940668,0.0002043814461479038,1.101648984893832e-06,1.0,0.5,5.0,20.0,0.5
78,79,1,1.2000033070973888,1.2999998625678708,0.5000000000026211,0.0010131540613819367,0.0002431202987752812,1.1448074266730497e-06,1.0,0.5,5.0,20.0,0.5
79,80,0,1.2000005205299007,1.2999999176310493,0.5000000000024472,0.0004342287912033099,0.00018822521233994257,1.106173744130208e-06,1.0,0.5,5.0,20.0,0.5
80,81,1,1.2000011373617194,1.2999998921219362,0.5000000000026473,0.0006127462960439608,0.0002154044775530985,1.150467071512182e-06,1.0,0.5,5.0,20.0,0.5
