,trial,response,mean_alpha,mean_beta,mean_gamma,sd_alpha,sd_beta,sd_gamma,p_null,p_reward,value_null,value_reward,amb_level
44,45,0,1.1999980974290727,1.2999998394760321,0.5003661299553034,0.0007704810614463207,0.000299956741732526,0.013525400059762856,1.0,0.5,-5.0,-8.0,0.24
45,46,0,1.1999974724900495,1.2999997531888776,0.5001104072977824,0.0008903363860844835,0.00038897531292124307,0.007429125497731293,1.0,0.5,-5.0,-8.0,0.24
46,47,0,1.1999988099412808,1.2999998804763127,0.5001232097362973,0.0006126812758409402,0.0002634868173269091,0.007847941975848665,1.0,0.13,-5.0,-40.0,0.0
47,48,0,1.1999994439734667,1.2999999390767243,0.500137500125139,0.0004235881406500628,0.00018274305079560483,0.008290460157072667,1.0,0.13,-5.0,-40.0,0.0
48,49,0,1.1999992541817064,1.2999999083527214,0.500041449862955,0.000488457135657698,0.00023447570616807185,0.004552280714998434,1.0,0.5,-5.0,-8.0,0.24
49,50,0,1.199999653551752,1.2999999506332724,0.5000462584800209,0.00033828334869460426,0.000165664505161344,0.004809069835297607,1.0,0.13,-5.0,-40.0,0.0
50,51,0,1.1999998435924688,1.299999970118399,0.5000516252133261,0.00023733305992773324,0.0001238223253148022,0.0050803544219862554,1.0,0.13,-5.0,-40.0,0.0
51,52,1,1.1999998587148604,1.2999999734017096,0.5000608465602212,0.0002279267474101953,0.00011479226624578561,0.005515401286977715,1.0,0.5,-5.0,-8.0,0.24
52,53,1,1.1999998726011611,1.2999999762423795,0.5000717147975776,0.0002192227954069093,0.00010694801362078642,0.005987682908522016,1.0,0.5,-5.0,-8.0,0.24
53,54,0,1.1999998225915371,1.2999999665650466,0.5000216166406612,0.0002482365674050099,0.00013043901065595183,0.003287531047528576,1.0,0.5,-5.0,-8.0,0.24
54,55,0,1.1999999234647476,1.299999976771476,0.500024124688307,0.00017716971822130662,0.00010508008134670805,0.003473005970780039,1.0,0.13,-5.0,-40.0,0.0
55,56,1,1.1999999317836512,1.2999999789928396,0.5000284341420381,0.00017095918824772032,9.885699979277997e-05,0.0037704472936774436,1.0,0.5,-5.0,-8.0,0.24
56,57,1,1.19999993948311,1.299999980956983,0.5000335133528396,0.00016527858204706645,9.332147331259602e-05,0.004093356320449689,1.0,0.5,-5.0,-8.0,0.24
57,58,1,1.1999999466335465,1.29999998270259,0.5000394997950964,0.00016009499598257,8.834511800543998e-05,0.0044439119015219145,1.0,0.5,-5.0,-8.0,0.24
58,59,0,1.1999999205735277,1.2999999766089272,0.5000119057017137,0.0001773271484666339,0.00010414405807212712,0.002439817693418441,1.0,0.5,-5.0,-8.0,0.24
59,60,0,1.1999999701520299,1.2999999812414915,0.5000132870885554,0.0001312993924564952,9.15481334687246e-05,0.0025774734075523866,1.0,0.13,-5.0,-40.0,0.0
60,61,0,1.1999999528048608,1.2999999751293811,0.5000040047383357,0.00014384761508477872,0.00010664289257309795,0.0014150453158139813,1.0,0.5,-5.0,-8.0,0.24
61,62,0,1.1999999843882516,1.2999999784338419,0.5000044694071584,0.00010872675421983179,9.769642156672956e-05,0.0014948858602323175,1.0,0.13,-5.0,-40.0,0.0
62,63,1,1.1999999873899787,1.2999999801228346,0.5000052678255771,0.00010635693443382132,9.347617191841196e-05,0.00162292489071617,1.0,0.5,-5.0,-8.0,0.24
63,64,1,1.1999999902333611,1.2999999816638823,0.5000062088723248,0.00010433359495330034,8.954796099692653e-05,0.0017619301384853066,1.0,0.5,-5.0,-8.0,0.24
64,65,1,1.1999999929411485,1.2999999830731206,0.5000073180256351,0.00010264010665778709,8.586855511821498e-05,0.001912840691670478,1.0,0.5,-5.0,-8.0,0.24
65,66,1,1.199999995533793,1.2999999843642294,0.5000086253147443,0.0001012623587560422,8.240462753665658e-05,0.002076676017592139,1.0,0.5,-5.0,-8.0,0.24
66,67,1,1.1999999980298648,1.2999999855489537,0.5000101661327044,0.00010018802391129407,7.913020232536083e-05,0.0022545428316544536,1.0,0.5,-5.0,-8.0,0.24
67,68,1,1.2000000004463809,1.2999999866374812,0.5000119821943194,9.940600064060189e-05,7.602476853557486e-05,0.002447642550154946,1.0,0.5,-5.0,-8.0,0.24
68,69,0,1.19999999124569,1.299999982721873,0.5000036114349895,0.000101337662784871,8.661125574268411e-05,0.0013437650426859674,1.0,0.5,-5.0,-8.0,0.24
69,70,0,1.1999999812933662,1.2999999775920572,0.5000010884745757,0.0001071697547453727,9.893791782219533e-05,0.0007377235973324301,1.0,0.5,-5.0,-8.0,0.24
70,71,1,1.1999999841563243,1.2999999990338442,0.5000011766942285,0.00010244643861619476,2.186811988486283e-05,0.0007670369827940792,1.0,0.5,-5.0,-50.0,0.74
71,72,0,1.1999999987304626,1.2999999995257574,0.500001313226745,8.280457067499831e-05,1.5131920092925851e-05,0.0008103157728312239,1.0,0.13,-5.0,-40.0,0.0
72,73,0,1.2000000065091456,1.2999999997560796,0.5000014656017653,7.340870309477207e-05,1.0718419981762246e-05,0.0008560366458090872,1.0,0.13,-5.0,-40.0,0.0
73,74,1,1.2000000077218422,1.2999999997854523,0.5000017274198866,7.39790418378145e-05,9.96988017373702e-06,0.0009293583617261975,1.0,0.5,-5.0,-8.0,0.24
74,75,1,1.2000000089426042,1.2999999998109357,0.5000020360095462,7.471859844651577e-05,9.295572715440661e-06,0.0010089601748067983,1.0,0.5,-5.0,-8.0,0.24
75,76,1,1.2000000101775539,1.2999999998331173,0.5000023997260012,7.56204919769364e-05,8.684509886591396e-06,0.0010953799568755296,1.0,0.5,-5.0,-8.0,0.24
76,77,1,1.200000011432671,1.2999999998524772,0.5000028284170589,7.667830987017168e-05,8.127812780833533e-06,0.0011892016395148649,1.0,0.5,-5.0,-8.0,0.24
77,78,1,1.2000000127138442,1.2999999998694165,0.5000033336896924,7.788610002635125e-05,7.618270923171511e-06,0.0012910591562525222,1.0,0.5,-5.0,-8.0,0.24
78,79,1,1.2000000140269103,1.2999999998842682,0.5000039292242722,7.923837250606068e-05,7.149991935364532e-06,0.0014016407215779966,1.0,0.5,-5.0,-8.0,0.24
79,80,1,1.200000015377696,1.2999999998973137,0.5000046311449239,8.073010515499835e-05,6.7181247029152734e-06,0.0015216934754062241,1.0,0.5,-5.0,-8.0,0.24
80,81,1,1.2000000167720508,1.299999999908791,0.5000054584560314,8.23567492761964e-05,6.31864176216561e-06,0.0016520285239926328,1.0,0.5,-5.0,-8.0,0.24
81,82,1,1.2000000182158832,1.2999999999189045,0.5000064335566974,8.41142329449442e-05,5.948168888681851e-06,0.0017935264108763051,1.0,0.5,-5.0,-8.0,0.24
82,83,0,1.2000000123525896,1.2999999998840124,0.5000019390595716,7.62979433452903e-05,7.1369200969167135e-06,0.000984645128047576,1.0,0.5,-5.0,-8.0,0.24
83,84,0,1.2000000074312978,1.2999999998331955,0.5000005844245736,7.07820336319513e-05,8.598872998353013e-06,0.0005405663192684352,1.0,0.5,-5.0,-8.0,0.24
84,85,0,1.2000000115113543,1.2999999999033747,0.5000006522360875,6.909945567787699e-05,6.514057327757616e-06,0.0005710670875777553,1.0,0.13,-5.0,-40.0,0.0
85,86,0,1.2000000169332106,1.2999999999302996,0.5000007825462781,7.641575574314353e-05,5.514991741984507e-06,0.0006255178070115838,1.0,0.25,-5.0,-20.0,0.0
86,87,1,1.1999999973886548,1.2999999998838443,0.5000003118790085,3.079255118002965e-05,7.145336444827605e-06,0.0003948916397016022,1.0,0.25,-5.0,-20.0,0.0
87,88,0,1.1999999989384613,1.2999999999273248,0.5000003480667485,2.2459509794469662e-05,5.6296627658971705e-06,0.0004171729295670106,1.0,0.13,-5.0,-40.0,0.0
88,89,0,1.1999999984337175,1.2999999998991667,0.5000001049056462,2.4738603868361696e-05,6.6546876261455565e-06,0.00022902578901522108,1.0,0.5,-5.0,-8.0,0.24
89,90,0,1.1999999994107253,1.2999999999297975,0.5000001170780003,1.8366247343984826e-05,5.527839708653643e-06,0.00024194831360452732,1.0,0.13,-5.0,-40.0,0.0
90,91,0,1.1999999998963233,1.2999999999442997,0.5000001306627385,1.4601774473906928e-05,4.9090726682930926e-06,0.0002555999846743026,1.0,0.13,-5.0,-40.0,0.0
91,92,0,1.1999999996954624,1.299999999926349,0.5000000393811077,1.5164263364263304e-05,5.6550806645579936e-06,0.00014032302821178255,1.0,0.5,-5.0,-8.0,0.24
92,93,0,1.2000000000076214,1.2999999999365648,0.5000000439505586,1.2448823986310578e-05,5.234586121131956e-06,0.00014824060632098266,1.0,0.13,-5.0,-40.0,0.0
93,94,0,1.1999999998645645,1.2999999999173242,0.5000000132464808,1.266047257004887e-05,5.984206306960038e-06,8.138329207042445e-05,1.0,0.5,-5.0,-8.0,0.24
94,95,0,1.2000000000672304,1.2999999999245246,0.5000000147834907,1.0753367054004277e-05,5.705983366252676e-06,8.597525889038981e-05,1.0,0.13,-5.0,-40.0,0.0
95,96,0,1.2000000001815705,1.299999999927933,0.5000000164988424,9.991771310880984e-06,5.57049225325555e-06,9.082632302763275e-05,1.0,0.13,-5.0,-40.0,0.0
96,97,1,1.199999999831648,1.2999999999239933,0.5000000065755046,7.275694765350661e-06,5.725954143537519e-06,5.733892463840124e-05,1.0,0.25,-5.0,-20.0,0.0
97,98,1,1.1999999991682004,1.2999999998970764,0.5000000010051473,1.5818771374666978e-05,6.694437032549703e-06,2.241815588262537e-05,1.0,0.13,-5.0,-40.0,0.0
98,99,0,1.1999999994142663,1.2999999998994025,0.5000000010073574,1.3267114295105891e-05,6.6006441024922795e-06,2.244278868865021e-05,1.0,0.5,-5.0,-50.0,0.5
99,100,0,1.1999999995861672,1.299999999901414,0.5000000010095725,1.1148062084921741e-05,6.524528772640521e-06,2.2467448739663084e-05,1.0,0.5,-5.0,-50.0,0.5
100,101,0,1.1999999997063953,1.2999999999032115,0.5000000010117925,9.388260990825825e-06,6.459290003961758e-06,2.2492136037724455e-05,1.0,0.5,-5.0,-50.0,0.5
101,102,0,1.1999999997905841,1.2999999999048468,0.5000000010140171,7.927900752890747e-06,6.401362571427648e-06,2.2516850589262906e-05,1.0,0.5,-5.0,-50.0,0.5
102,103,0,1.1999999998888713,1.2999999999168443,0.500000001039483,5.774824035413292e-06,5.981628084353633e-06,2.279783979151278e-05,1.0,0.13,-5.0,-50.0,0.0
103,104,1,1.1999999999018027,1.2999999999955365,0.5000000011237322,5.428201832603685e-06,1.3885166345779123e-06,2.370371429295264e-05,1.0,0.5,-5.0,-50.0,0.74
104,105,0,1.1999999999478883,1.2999999999975662,0.5000000011519534,3.954221039843658e-06,1.0244702039127986e-06,2.399951535712593e-05,1.0,0.13,-5.0,-50.0,0.0
105,106,0,1.1999999999752269,1.2999999999987697,0.5000000012856164,2.726395716366848e-06,7.282746595993989e-07,2.5353662338541383e-05,1.0,0.13,-5.0,-40.0,0.0
106,107,0,1.1999999999882234,1.299999999999341,0.5000000014347884,1.8798503361050535e-06,5.327122196425737e-07,2.678421612362431e-05,1.0,0.13,-5.0,-40.0,0.0
107,108,0,1.199999999994402,1.2999999999996132,0.5000000016012693,1.2961973982305783e-06,4.082024075634369e-07,2.8295487590167917e-05,1.0,0.13,-5.0,-40.0,0.0
108,109,1,1.1999999999948536,1.299999999999653,0.5000000018873243,1.2428140367049661e-06,3.8654340987981127e-07,3.0719084251136126e-05,1.0,0.5,-5.0,-8.0,0.24
109,110,1,1.1999999999952689,1.2999999999996885,0.500000002224481,1.1916722813147154e-06,3.6619152778223017e-07,3.335026951315241e-05,1.0,0.5,-5.0,-8.0,0.24
110,111,1,1.1999999999956499,1.2999999999997198,0.5000000026218682,1.1426746004693188e-06,3.470602562765996e-07,3.62068239853752e-05,1.0,0.5,-5.0,-8.0,0.24
111,112,0,1.19999999999428,1.29999999999961,0.5000000007902181,1.3102114978981131e-06,4.0990230792778223e-07,1.9877349546890354e-05,1.0,0.5,-5.0,-8.0,0.24
112,113,1,1.199999999994741,1.2999999999996494,0.5000000009313847,1.256270966980396e-06,3.882338613999517e-07,2.157990646428386e-05,1.0,0.5,-5.0,-8.0,0.24
113,114,0,1.1999999999930837,1.2999999999995104,0.5000000002807148,1.4406734256253505e-06,4.592887096040507e-07,1.1847251325421919e-05,1.0,0.5,-5.0,-8.0,0.24
114,115,0,1.1999999999967121,1.2999999999996772,0.5000000003132864,9.933978529517973e-07,3.725468610504219e-07,1.2515720131892336e-05,1.0,0.13,-5.0,-40.0,0.0
115,116,0,1.1999999999984376,1.2999999999997571,0.5000000003496377,6.850525322717098e-07,3.232702852274552e-07,1.3221906623849284e-05,1.0,0.13,-5.0,-40.0,0.0
116,117,1,1.199999999998564,1.299999999999778,0.5000000004120979,6.568383714816921e-07,3.0917839691057913e-07,1.4354404123814784e-05,1.0,0.5,-5.0,-8.0,0.24
117,118,1,1.1999999999986797,1.2999999999997962,0.500000000485716,6.29812602809217e-07,2.958059881283369e-07,1.55839035630457e-05,1.0,0.5,-5.0,-8.0,0.24
118,119,0,1.199999999998263,1.2999999999997296,0.5000000001463923,7.221977816127273e-07,3.409474823976061e-07,8.555478308498925e-06,1.0,0.5,-5.0,-8.0,0.24
119,120,0,1.199999999999175,1.2999999999997731,0.5000000001633788,4.981022534733638e-07,3.1255759378311536e-07,9.038212279111975e-06,1.0,0.13,-5.0,-40.0,0.0
120,121,0,1.1999999999989135,1.299999999999703,0.5000000000492415,5.712653246367224e-07,3.5741550883258965e-07,4.961929386980716e-06,1.0,0.5,-5.0,-8.0,0.24
121,122,0,1.199999999999484,1.2999999999997334,0.5000000000549552,3.940491453702001e-07,3.3868678024685054e-07,5.241901096352671e-06,1.0,0.13,-5.0,-40.0,0.0
122,123,1,1.1999999999975044,1.2999999999996286,0.5000000000084007,8.653866811537469e-07,3.999289129243169e-07,2.0494580151554508e-06,1.0,0.13,-5.0,-40.0,0.0
123,124,0,1.1999999999982358,1.2999999999996361,0.500000000008419,7.275007650762547e-07,3.955697370125281e-07,2.0517100356117097e-06,1.0,0.5,-5.0,-50.0,0.5
124,125,0,1.1999999999987478,1.2999999999996437,0.5000000000084376,6.128235127842339e-07,3.914879399341903e-07,2.053964531131002e-06,1.0,0.5,-5.0,-50.0,0.5
125,126,0,1.1999999999993358,1.2999999999996983,0.5000000000086494,4.4643351584747653e-07,3.6032640875809993e-07,2.0795962381879076e-06,1.0,0.13,-5.0,-50.0,0.0
126,127,0,1.1999999999996473,1.2999999999997272,0.5000000000088667,3.252213666440355e-07,3.4264482397656226e-07,2.1055478097518693e-06,1.0,0.13,-5.0,-50.0,0.0
127,128,1,1.199999999999684,1.2999999999999892,0.5000000000095853,3.0788235340565444e-07,6.84866536985171e-08,2.1892119790834997e-06,1.0,0.5,-5.0,-50.0,0.74
128,129,0,1.1999999999998499,1.2999999999999947,0.5000000000106976,2.12283389755352e-07,4.8367547362049e-08,2.3127359885042514e-06,1.0,0.13,-5.0,-40.0,0.0
129,130,1,1.1999999999992743,1.2999999999999756,0.5000000000016351,4.66542407205965e-07,1.0246400676561498e-07,9.042244941390944e-07,1.0,0.13,-5.0,-40.0,0.0
130,131,0,1.19999999999949,1.2999999999999774,0.5000000000016389,3.912859773587117e-07,9.918917891827136e-08,9.052180876789674e-07,1.0,0.5,-5.0,-50.0,0.5
131,132,0,1.1999999999996402,1.2999999999999785,0.5000000000016425,3.2859099468430136e-07,9.60268097715228e-08,9.062127735146045e-07,1.0,0.5,-5.0,-50.0,0.5
132,133,0,1.1999999999997455,1.29999999999998,0.5000000000016461,2.764074082907455e-07,9.297180621295947e-08,9.072085527673704e-07,1.0,0.5,-5.0,-50.0,0.5
133,134,0,1.1999999999998192,1.2999999999999814,0.5000000000016497,2.330230525606914e-07,9.00199444040533e-08,9.082054265723884e-07,1.0,0.5,-5.0,-50.0,0.5
134,135,0,1.199999999999904,1.2999999999999898,0.5000000000016911,1.6975511804285468e-07,6.632883015476123e-08,9.195390455911609e-07,1.0,0.13,-5.0,-50.0,0.0
